id_index,id_index_new,id_index_n,start_time,end_time,work_place_id,work_place,school_id,school,academy_id,academy
00244148100011654000,00244148100011654007,9529109_8,1990-9-1,1993-8-1,00144148100000000000,兴宁市,00333333300004588000,兴宁师范学校,00333333300004588000,
00232000000024352000,00232000000024352002,9529824_2,1984-9-1,1988-7-1,00161060000000000000,延安市,00333333300000466000,延安大学,00333333300000466000,
00233068100016339000,00233068100016339001,9530087_1,1996-9-1,1997-1-1,00133000000000000000,浙江省,00333333300000504000,浙江省委党校,00333333300000504000,
00233068100016339000,00233068100016339003,9530087_3,1978-10-1,1982-7-1,00133010000000000000,杭州市,00333333300000170000,杭州大学,00333333300000170000,
00243042600023583000,00243042600023583001,9534551_1,1981-9-1,1985-9-1,00143000000000000000,湖南省,00333333300000532000,湖南农学院,00333333300000532000,
00232120000026152000,00232120000026152003,9535407_3,1992-9-1,1995-7-1,00131020000000000000,上海市县,00333333300000757000,河海大学,00333333300000757000,
00232120000026152000,00232120000026152007,9535407_6_1,1986-9-1,1989-7-1,00145030000000000000,桂林市,00333333300004589000,江苏省水利工程专科学校,00333333300004589000,
00237158100006893000,00237158100006893002,9537580_1_2,1980-1-1,1981-1-1,00111000000000000000,北京市,00333333300000015000,中国人民大学,00333333300000015000,
00265000000037092000,00265000000037092001,953919_1,1960-1-1,1962-1-1,00165000000000000000,新疆维吾尔自治区,00333333300004590000,中央高级党校新疆班,00333333300004590000,
00236000000017689000,00236000000017689001,954582_1,1999-8-1,2001-12-1,00131020000000000000,上海市县,00333333300000009000,中央党校,00333333300000009000,
00212000000036633000,00212000000036633002,9546876_2,1992-8-1,1994-8-1,00112000000000000000,天津市,00333333300001489000,天津广播电视大学,00333333300001489000,
00212000000036633000,00212000000036633006,9546876_6,1978-8-1,1980-12-1,00121020000000000000,大连市,00333333300000898000,大连海运学校,00333333300000898000,
00243010000009069000,00243010000009069003,9547155_3,1978-3-1,1980-2-1,00143010000000000000,长沙市,00333333300000185000,商业学校,00333333300000185000,
00236000000021636000,00236000000021636001,9547193_1,1993-9-1,1996-7-1,00144000000000000000,广东省,00333333300000525000,广东省委党校,00333333300000525000,
00236000000021636000,00236000000021636002,9547193_2,1998-9-1,2000-12-1,00144000000000000000,广东省,00333333300000525000,广东省委党校,00333333300000525000,
00236000000021636000,00236000000021636005,9547193_5,1983-8-1,1983-1-1,00144000000000000000,广东省,00333333300004591000,广东省农垦湛江中专学校,00333333300004591000,
00244000000015833000,00244000000015833002,9547585_2,1984-9-1,1988-7-1,00144200000000000000,中山市,00333333300000196000,中山大学,00333333300000196015,哲学系
00214000000036929000,00214000000036929001,9550686_1,1981-9-1,1985-7-1,00114000000000000000,山西省,00333333300000032000,山西大学,00333333300000032000,
00241110000031040000,00241110000031040004,9551_1_4,1970-1-1,1976-1-1,00141000000000000000,河南省,00333333300003429000,河南工业大学,00333333300003429000,
00241110000031040000,00241110000031040006,9551_3,1983-1-1,1985-1-1,00141000000000000000,河南省,00333333300004592000,河南省郑州大学,00333333300004592000,
00215000000037112000,00215000000037112001,9555155_1,1998-3-1,1998-7-1,00190000100000000000,青干班,00333333300004593000,兴安盟党校,00333333300004593000,
00215000000037112000,00215000000037112003,9555155_3,1985-9-1,1989-7-1,00115000000000000000,内蒙古自治区,00333333300000717000,内蒙古师范大学,00333333300000717000,
00214000000040408000,00214000000040408001,9555692_1,1996-1-1,2012-3-1,00150023400000000000,重庆市开县,00333333300000090000,南开大学,00333333300000090000,
00231000000033945000,00231000000033945001,9557725_1,1988-9-1,1991-2-1,00161010000000000000,西安市,00333333300000241000,长安大学,00333333300000241510,西安公路学院
00233020000021092000,00233020000021092001,9562646_1,1980-9-1,1984-12-1,00131000000000000000,上海市,00333333300004594000,上海中医学院夜,00333333300004594000,
00214000000043399000,00214000000043399003,9564174_3,1988-9-1,1992-7-1,00114000000000000000,山西省,00333333300002229000,山西省水利学校,00333333300002229000,
00231000000033392000,00231000000033392001,9564332_1,1990-9-1,1993-12-1,00131020000000000000,上海市县,00333333300000028000,中央党校函授学院,00333333300000028000,
00231000000033392000,00231000000033392003,9564332_3,1999-10-1,2000-3-1,00151152500000000000,宜宾市高县,00333333300000392000,市委组织部大学,00333333300000392000,
00231000000033392000,00231000000033392006,9564332_6,2009-3-1,2011-10-1,00131020000000000000,上海市县,00333333300000221000,国家行政学院,00333333300000221000,
00234188100026271000,00234188100026271002,9564991_2_1,1992-10-1,1997-8-1,00162122200000000000,陇南市文县,00333333300000167000,华东师范大学,00333333300000167000,
00234188100026271000,00234188100026271009,9564991_6,2006-9-1,2006-11-1,00151152500000000000,宜宾市高县,00333333300000392000,市委组织部大学,00333333300000392000,
00234000000034784000,00234000000034784001,9567759_1,1978-3-1,1980-2-1,00134130000000000000,宿州市,00333333300000868000,安师大宿州专科学校,00333333300000868000,
00234000000034784000,00234000000034784002,9567759_2,1994-8-1,1996-12-1,00131020000000000000,上海市县,00333333300000028000,中央党校函授学院,00333333300000028000,
00244000000026693000,00244000000026693002,9571172_2,1977-4-1,1979-12-1,00144050000000000000,汕头市,00333333300003267000,汕头农学院,00333333300003267000,
00243000000001450000,00243000000001450001,9574110_1,1983-9-1,1986-7-1,00143000000000000000,湖南省,00333333300000999000,湖南广播电视大学,00333333300000999000,
00243000000001450000,00243000000001450002,9574110_2_1,1989-10-1,2001-12-1,00143030000000000000,湘潭市,00333333300000642000,湘潭大学,00333333300000642000,
00243000000001450000,00243000000001450005,9574110_4,1979-10-1,1981-8-1,00131020000000000000,上海市县,00333333300000551000,中专大学,00333333300000551000,
00250000000043347000,00250000000043347003,9574477_3,1993-7-1,1996-6-1,00143092100000000000,益阳市南县,00333333300000037000,西南师范大学,00333333300000037000,
00250000000043347000,00250000000043347006,9574477_6,1977-3-1,1980-1-1,00143092100000000000,益阳市南县,00333333300000523000,西南师范学院,00333333300000523000,
00250000000034727000,00250000000034727003,9574753_3,2003-9-1,2005-12-1,00150000000000000000,重庆市,00333333300000027000,重庆市委党校,00333333300000027000,
00250000000034727000,00250000000034727004,9574753_4,1978-9-1,1981-8-1,00151000000000000000,四川省,00333333300000342000,四川省万县农学院,00333333300000342000,
00250023400040012000,00250023400040012001,9574813_1,1997-9-1,1999-12-1,00131020000000000000,上海市县,00333333300000009000,中央党校,00333333300000009000,
00250023400040012000,00250023400040012009,9574813_10,1991-3-1,1992-3-1,00151000000000000000,四川省,00333333300000022000,四川大学,00333333300000022000,
00250023400040012000,00250023400040012003,9574813_4,1975-9-1,1977-8-1,00151000000000000000,四川省,00333333300000041000,四川省开县师范学校,00333333300000041000,
00250000000009751000,00250000000009751006,9574826_5,2010-3-1,2011-1-1,00113092200000000000,沧州市青县,00333333300000113000,中央党校中青班,00333333300000113000,
00250000000009751000,00250000000009751007,9574826_6,1989-9-1,1992-7-1,00150000000000000000,重庆市,00333333300000503000,重庆建筑工程学院,00333333300000503000,
