location_name,location_id,previous_location_id
崇礼县,00113073300000000000,00113070000000000000
承德市,00113080000000000000,00113000000000000000
市辖区,00113080100000000000,00113080000000000000
双桥区,00113080200000000000,00113080000000000000
双滦区,00113080300000000000,00113080000000000000
鹰手营子矿区,00113080400000000000,00113080000000000000
承德县,00113082100000000000,00113080000000000000
兴隆县,00113082200000000000,00113080000000000000
平泉县,00113082300000000000,00113080000000000000
滦平县,00113082400000000000,00113080000000000000
隆化县,00113082500000000000,00113080000000000000
丰宁满族自治县,00113082600000000000,00113080000000000000
宽城满族自治县,00113082700000000000,00113080000000000000
围场满族蒙古族自治县,00113082800000000000,00113080000000000000
沧州市,00113090000000000000,00113000000000000000
市辖区,00113090100000000000,00113090000000000000
新华区,00113090200000000000,00113090000000000000
运河区,00113090300000000000,00113090000000000000
沧县,00113092100000000000,00113090000000000000
青县,00113092200000000000,00113090000000000000
东光县,00113092300000000000,00113090000000000000
海兴县,00113092400000000000,00113090000000000000
盐山县,00113092500000000000,00113090000000000000
肃宁县,00113092600000000000,00113090000000000000
南皮县,00113092700000000000,00113090000000000000
吴桥县,00113092800000000000,00113090000000000000
献县,00113092900000000000,00113090000000000000
孟村回族自治县,00113093000000000000,00113090000000000000
泊头市,00113098100000000000,00113000000000000000
任丘市,00113098200000000000,00113000000000000000
黄骅市,00113098300000000000,00113000000000000000
河间市,00113098400000000000,00113000000000000000
廊坊市,00113100000000000000,00113000000000000000
市辖区,00113100100000000000,00113100000000000000
安次区,00113100200000000000,00113100000000000000
广阳区,00113100300000000000,00113100000000000000
固安县,00113102200000000000,00113100000000000000
永清县,00113102300000000000,00113100000000000000
香河县,00113102400000000000,00113100000000000000
大城县,00113102500000000000,00113100000000000000
文安县,00113102600000000000,00113100000000000000
大厂回族自治县,00113102800000000000,00113100000000000000
霸州市,00113108100000000000,00113000000000000000
三河市,00113108200000000000,00113000000000000000
衡水市,00113110000000000000,00113000000000000000
市辖区,00113110100000000000,00113110000000000000
桃城区,00113110200000000000,00113110000000000000
枣强县,00113112100000000000,00113110000000000000
武邑县,00113112200000000000,00113110000000000000
武强县,00113112300000000000,00113110000000000000
饶阳县,00113112400000000000,00113110000000000000
安平县,00113112500000000000,00113110000000000000
故城县,00113112600000000000,00113110000000000000
景县,00113112700000000000,00113110000000000000
阜城县,00113112800000000000,00113110000000000000
冀州市,00113118100000000000,00113000000000000000
深州市,00113118200000000000,00113000000000000000
山西省,00114000000000000000,00111111100000000000
太原市,00114010000000000000,00114000000000000000
市辖区,00114010100000000000,00114010000000000000
小店区,00114010500000000000,00114010000000000000
迎泽区,00114010600000000000,00114010000000000000
杏花岭区,00114010700000000000,00114010000000000000
尖草坪区,00114010800000000000,00114010000000000000
万柏林区,00114010900000000000,00114010000000000000
