id_index,officer_name,place_of_birth_id
"00200000000007412000","韦志辉","00100000000000000000"
"00200000000007414000","陆炳荣","00100000000000000000"
"00200000000007420000","曹庆丰","00100000000000000000"
"00200000000007425000","吕殿超","00100000000000000000"
"00200000000007434000","龚艳玲","00100000000000000000"
"00200000000007447000","秦喆","00100000000000000000"
"00200000000007454000","王洪升","00100000000000000000"
"00200000000007455000","张志芬","00100000000000000000"
"00200000000007463000","宏皓","00100000000000000000"
"00200000000007497000","蒲重良","00100000000000000000"
"00200000000007504000","王在泉","00100000000000000000"
"00200000000007506000","葛霖","00100000000000000000"
"00200000000007509000","吴章穆","00100000000000000000"
"00200000000007510000","叶志弘","00100000000000000000"
"00200000000007516000","副科级","00100000000000000000"
"00200000000007517000","原硕波","00100000000000000000"
"00200000000007528000","李智国","00100000000000000000"
"00200000000007531000","周尔均","00100000000000000000"
"00200000000007536000","郭太现","00100000000000000000"
"00200000000007545000","赵元庚","00100000000000000000"
"00200000000007547000","代办","00100000000000000000"
"00200000000007558000","选调生","00100000000000000000"
"00200000000007562000","陈肖鸣","00100000000000000000"
"00200000000007564000","赵建国","00100000000000000000"
"00200000000007586000","匡利娥","00100000000000000000"
"00200000000007588000","史安斌","00100000000000000000"
"00200000000007594000","曹思德","00100000000000000000"
"00200000000007620000","姚待献","00100000000000000000"
"00200000000007645000","曹燕灵","00100000000000000000"
"00200000000007647000","尤利娅·季莫申科","00100000000000000000"
"00200000000007651000","左晓霞","00100000000000000000"
"00200000000007655000","宋文爱","00100000000000000000"
"00200000000007659000","马胜林","00100000000000000000"
"00200000000007680000","廖秦平","00100000000000000000"
"00200000000007698000","毕崇江","00100000000000000000"
"00200000000007702000","庄美楷","00100000000000000000"
"00200000000007722000","洪华生","00100000000000000000"
"00200000000007740000","季宗棠","00100000000000000000"
"00200000000007752000","薄熙莹","00100000000000000000"
"00200000000007756000","罗家德","00100000000000000000"
"00200000000007757000","路耕","00100000000000000000"
"00200000000007758000","张景亭","00100000000000000000"
"00200000000007768000","提干","00100000000000000000"
"00200000000007772000","谭晓枫","00100000000000000000"
"00200000000007794000","明东","00100000000000000000"
"00200000000007801000","尹爱青","00100000000000000000"
"00200000000007822000","任尔昕","00100000000000000000"
"00200000000007830000","贾宝田","00100000000000000000"
"00200000000007834000","张庆坤","00100000000000000000"
"00200000000007836000","何晓顺","00100000000000000000"
"00200000000007843000","柴强","00100000000000000000"
"00200000000007851000","肖亚中","00100000000000000000"
"00200000000007852000","杨建柳","00100000000000000000"
"00200000000007860000","何成诗","00100000000000000000"
"00200000000007862000","李宝林","00100000000000000000"
"00200000000007863000","沈坤炜","00100000000000000000"
"00200000000007865000","汪长诗","00100000000000000000"
"00200000000007866000","叶观瑞","00100000000000000000"
"00200000000007877000","王辰","00100000000000000000"
"00200000000007880000","李学明","00100000000000000000"
"00200000000007885000","俞树荣","00100000000000000000"
"00200000000007886000","蒋柏荣","00100000000000000000"
"00200000000007905000","王栓科","00100000000000000000"
"00200000000007908000","段伟红","00100000000000000000"
"00200000000007917000","郭令明","00100000000000000000"
"00200000000007919000","张厚吉","00100000000000000000"
"00200000000007929000","王吉法","00100000000000000000"
"00200000000007935000","蒲树林","00100000000000000000"
"00200000000007936000","胡贤政","00100000000000000000"
"00200000000007941000","孙好勤","00100000000000000000"
"00200000000007943000","崔喜成","00100000000000000000"
"00200000000007966000","来逢波","00100000000000000000"
"00200000000007978000","梁玉嵘","00100000000000000000"
"00200000000007998000","蔡春","00100000000000000000"
"00200000000007999000","武智慧","00100000000000000000"
"00200000000008024000","蒋发贵","00100000000000000000"
"00200000000008035000","邓飞其","00100000000000000000"
"00200000000008037000","姜宗来","00100000000000000000"
"00200000000008042000","宋雷鸣","00100000000000000000"
"00200000000008048000","刘珍才","00100000000000000000"
"00200000000008070000","蔡甜甜","00100000000000000000"
"00200000000008072000","王占铭","00100000000000000000"
"00200000000008074000","谷丽应","00100000000000000000"
"00200000000008075000","赵普","00100000000000000000"
"00200000000008081000","郭丛军","00100000000000000000"
"00200000000008091000","况九龙","00100000000000000000"
"00200000000008092000","倪凯铭","00100000000000000000"
"00200000000008098000","何小元","00100000000000000000"
"00200000000008099000","祝启程","00100000000000000000"
"00200000000008104000","王天俊","00100000000000000000"
"00200000000008112000","郑忆石","00100000000000000000"
"00200000000008117000","陆国栋","00100000000000000000"
"00200000000008122000","李祚标","00100000000000000000"
"00200000000008131000","江小明","00100000000000000000"
"00200000000008139000","张早校","00100000000000000000"
"00200000000008147000","颜海平","00100000000000000000"
"00200000000008151000","张希贵","00100000000000000000"
"00200000000008154000","吴志宏","00100000000000000000"
"00200000000008166000","黄百炼","00100000000000000000"
"00200000000008174000","施芝鸿","00100000000000000000"
"00200000000008185000","徐信忠","00100000000000000000"
"00200000000008187000","解跃峰","00100000000000000000"
"00200000000008190000","郭自力","00100000000000000000"
"00200000000008194000","石茂生","00100000000000000000"
"00200000000008199000","徐天鹏","00100000000000000000"
"00200000000008200000","宋亚晨","00100000000000000000"
"00200000000008206000","庄树新","00100000000000000000"
"00200000000008226000","苏鉴钢","00100000000000000000"
"00200000000008228000","郭燕红","00100000000000000000"
"00200000000008239000","王大心","00100000000000000000"
"00200000000008244000","张正男","00100000000000000000"
"00200000000008267000","钟惟德","00100000000000000000"
"00200000000008270000","齐向东","00100000000000000000"
"00200000000008273000","葛宝荣","00100000000000000000"
"00200000000008293000","刘伊生","00100000000000000000"
"00200000000008294000","许章荣","00100000000000000000"
"00200000000008296000","左扬","00100000000000000000"
"00200000000008300000","朱小蔓","00100000000000000000"
"00200000000008337000","黄仁云","00100000000000000000"
"00200000000008340000","黄子欣","00100000000000000000"
"00200000000008343000","刘利才","00100000000000000000"
"00200000000008346000","马栩生","00100000000000000000"
"00200000000008348000","陆建波","00100000000000000000"
"00200000000008349000","许洪斌","00100000000000000000"
"00200000000008353000","姬桂玲","00100000000000000000"
"00200000000008361000","王平生","00100000000000000000"
"00200000000008370000","申少平","00100000000000000000"
"00200000000008378000","谢练高","00100000000000000000"
"00200000000008404000","道小琴","00100000000000000000"
"00200000000008405000","周建生","00100000000000000000"
"00200000000008418000","陶倩","00100000000000000000"
"00200000000008443000","尹积军","00100000000000000000"
"00200000000008452000","翁祖根","00100000000000000000"
"00200000000008458000","郎春燕","00100000000000000000"
"00200000000008462000","张大东","00100000000000000000"
"00200000000008478000","刘力生","00100000000000000000"
"00200000000008497000","代蕊华","00100000000000000000"
"00200000000008511000","程锦国","00100000000000000000"
"00200000000008531000","倪一珍","00100000000000000000"
"00200000000008539000","王良兴","00100000000000000000"
"00200000000008548000","秦焕明","00100000000000000000"
"00200000000008560000","罗成丽","00100000000000000000"
"00200000000008564000","李颖洁","00100000000000000000"
"00200000000008587000","宋连胜","00100000000000000000"
"00200000000008595000","黄之峰","00100000000000000000"
"00200000000008596000","安少华","00100000000000000000"
"00200000000008597000","熊传真","00100000000000000000"
"00200000000008612000","俞惠民","00100000000000000000"
"00200000000008613000","张扬平","00100000000000000000"
"00200000000008615000","赵欣","00100000000000000000"
"00200000000008620000","游建强","00100000000000000000"
"00200000000008624000","严小军","00100000000000000000"
"00200000000008626000","石铮","00100000000000000000"
"00200000000008639000","龚良玉","00100000000000000000"
"00200000000008647000","姜付秀","00100000000000000000"
"00200000000008650000","王涵贵","00100000000000000000"
"00200000000008667000","徐国卿","00100000000000000000"
"00200000000008691000","张先龙","00100000000000000000"
"00200000000008711000","周新辉","00100000000000000000"
"00200000000008718000","邹联清","00100000000000000000"
"00200000000008723000","赵高扬","00100000000000000000"
"00200000000008726000","镇长","00100000000000000000"
"00200000000008754000","范珍明","00100000000000000000"
"00200000000008756000","罪城","00100000000000000000"
"00200000000008760000","沈定成","00100000000000000000"
"00200000000008802000","丁世伟","00100000000000000000"
"00200000000008812000","杨建君","00100000000000000000"
"00200000000008822000","权良宝","00100000000000000000"
"00200000000008823000","柴逸峰","00100000000000000000"
"00200000000008834000","何飚","00100000000000000000"
"00200000000008837000","张相木","00100000000000000000"
"00200000000008847000","刘又年","00100000000000000000"
"00200000000008860000","易粹琼","00100000000000000000"
"00200000000008865000","齐自来","00100000000000000000"
"00200000000008882000","刘乐平","00100000000000000000"
"00200000000008893000","周秉利","00100000000000000000"
"00200000000008917000","于伟利","00100000000000000000"
"00200000000008928000","崔允成","00100000000000000000"
"00200000000008976000","程学东","00100000000000000000"
"00200000000008979000","李石贵","00100000000000000000"
"00200000000008981000","陈安利","00100000000000000000"
"00200000000009040000","汤重熹","00100000000000000000"
"00200000000009047000","于奕峰","00100000000000000000"
"00200000000009095000","郁鼎文","00100000000000000000"
"00200000000009098000","童夫尧","00100000000000000000"
"00200000000009139000","李泽美","00100000000000000000"
"00200000000009146000","梁冠中","00100000000000000000"
"00200000000009148000","罗其南","00100000000000000000"
"00200000000009159000","初中海","00100000000000000000"
"00200000000009160000","程基伟","00100000000000000000"
"00200000000009163000","袁家锐","00100000000000000000"
"00200000000009187000","丁岩","00100000000000000000"
"00200000000009207000","卢长勤","00100000000000000000"
"00200000000009217000","何忠华","00100000000000000000"
"00200000000009221000","任学群","00100000000000000000"
"00200000000009225000","陈海啸","00100000000000000000"
"00200000000009227000","周立雪","00100000000000000000"
"00200000000009238000","辛钟成","00100000000000000000"
"00200000000009239000","刘杏忠","00100000000000000000"
"00200000000009246000","赵堪兴","00100000000000000000"
"00200000000009252000","张景和","00100000000000000000"
"00200000000009264000","罗公利","00100000000000000000"
"00200000000009266000","谭泽中","00100000000000000000"
"00200000000009299000","毛野德","00100000000000000000"
"00200000000009323000","朱景利","00100000000000000000"
"00200000000009338000","程汤","00100000000000000000"
"00200000000009371000","滕泰","00100000000000000000"
"00200000000009380000","郭臻先","00100000000000000000"
"00200000000009393000","赵富高","00100000000000000000"
"00200000000009411000","杜明乾","00100000000000000000"
"00200000000009439000","郭涤尘","00100000000000000000"
"00200000000009447000","季永","00100000000000000000"
"00200000000009454000","卞度宏","00100000000000000000"
"00200000000009470000","牛德兴","00100000000000000000"
"00200000000009491000","周同恩","00100000000000000000"
"00200000000009497000","武维屏","00100000000000000000"
"00200000000009502000","丁素菊","00100000000000000000"
"00200000000009504000","郑毓煌","00100000000000000000"
"00200000000009507000","宋大伟","00100000000000000000"
"00200000000009517000","朱文祥","00100000000000000000"
"00200000000009519000","王希全","00100000000000000000"
"00200000000009521000","眼镜门","00100000000000000000"
"00200000000009523000","王春华","00100000000000000000"
"00200000000009529000","祝淑媛","00100000000000000000"
"00200000000009542000","乌小花","00100000000000000000"
"00200000000009550000","李旭炎","00100000000000000000"
"00200000000009557000","邓志雄","00100000000000000000"
"00200000000009563000","程冠昌","00100000000000000000"
"00200000000009574000","赵杏娥","00100000000000000000"
"00200000000009583000","李强民","00100000000000000000"
"00200000000009601000","黄穗平","00100000000000000000"
"00200000000009604000","刘素菲","00100000000000000000"
"00200000000009632000","丛日利","00100000000000000000"
"00200000000009642000","于海英","00100000000000000000"
"00200000000009644000","张武生","00100000000000000000"
"00200000000009647000","王锋君","00100000000000000000"
"00200000000009653000","丁庆明","00100000000000000000"
"00200000000009661000","于晓威","00100000000000000000"
"00200000000009668000","丁仲篪","00100000000000000000"
"00200000000009673000","何荣波","00100000000000000000"
"00200000000009687000","刘改琳","00100000000000000000"
"00200000000009713000","马健峰","00100000000000000000"
"00200000000009714000","谢振生","00100000000000000000"
"00200000000009729000","樊海鹏","00100000000000000000"
"00200000000009764000","刘啸泉","00100000000000000000"
"00200000000009766000","李九萍","00100000000000000000"
"00200000000009775000","瞿博雯","00100000000000000000"
"00200000000009778000","杨佩瑾","00100000000000000000"
"00200000000009779000","秦定国","00100000000000000000"
"00200000000009785000","黄伟林","00100000000000000000"
"00200000000009792000","陈方磊","00100000000000000000"
"00200000000009798000","夏克勤","00100000000000000000"
"00200000000009817000","孙宏典","00100000000000000000"
"00200000000009822000","陈贞忠","00100000000000000000"
"00200000000009923000","洪振国","00100000000000000000"
"00200000000009924000","欧继中","00100000000000000000"
"00200000000009925000","白学军","00100000000000000000"
"00200000000009934000","关乃佳","00100000000000000000"
"00200000000009947000","阎雪莹","00100000000000000000"
"00200000000009959000","陈永久","00100000000000000000"
"00200000000009965000","赵长富","00100000000000000000"
"00200000000009971000","张辛欣","00100000000000000000"
"00200000000009976000","王冠军","00100000000000000000"
